SM,y R U' R' D2 R U R' D2 y',"y [R U' R', D2] y'"
SN,B U' R D2 R' U R D2 R' B',"B [U', R D2 R'] B'"
SO,y R' D L2 D' R D L2 u',"y [R', D L2 D'] y'"
SP,D L U2 L' D' L U2 L',"[D, L U2 L']"
SQ,x' L U2 L D' L' U2 L D L2 x,"x' L [U2, L D' L'] L' x"
SX,y R U' F2 U R' U' R F2 R' U y',"y R U' [F2, U R' U' R] U R' y'"
SY,D' U R U' R' D R U R' U',"[D', U R U' R']"
SZ,y' R' U' L U R U' L' U y,"y' [R', U' L U] y"
,,
Y,Alg,C ABA'B' C'
YA,U' D' R' D R U R' D' R D,"[U', D' R' D R]"
YB,L2 D2 L U2 L' D2 L U2 L,"L2 [D2, L U2 L'] L2"
YC,U L U' R U L' U' R',"[U L U', R]"
YD,L' D2 L U2 L' D2 L U2,"[L' D2 L, U2]"
YE,x U' L U R U' r' F R',"x [U' L U, R] x'"
YF, x R' U L2 U' R U L2 U' x',"x [R', U L2 U'] x'"
YG,y R' D R U' R' D' R U y',"y [R' D R, U'] y'"
YH,y U2 L2 U R U' L2 U R' U y',"y U' [U' L2 U, R] U y'"
YI,x U R2 U L U' R2 U L' U2 x',"x U2 [U' R2 U, L] U2 x'"
YW,L D2 L U2 L' D2 L U2 L2,"L [D2, L U2 L'] L'"
YM,U R U' R' D R U R' U' D',"[U R U' R', D]"
YN,U L' U' R U L U' R',"[U L' U', R]"
YO,U L2 U' R U L2 U' R',"[U L2 U', R]"
YP,D2 L U2 L' D2 L U2 L',"[D2, L U2 L']"
YQ,U' L2 U R U' L2 U R',"[U' L2 U, R]"
YR,R2 D2 R U R' D2 R U' R,"R' [R' D2 R, U] R"
YS,U R U' R' D' R U R' U' D,"[U R U' R', D']"
YT,x U2 L' U R2 U' L U R2 U x',"x U' [U' L U, R2] U x'"
C,Alg,C ABA'B' C'
C,x' U L2 U R2 U' L2 U R2 U2 x,"x' U [L2, U R2 U'] U' x"
C,U' R' U L U' R U L',"[U' R' U, L]"
C,x' R U' R' D R U R' D' x,"x' [R U R', D] x"
CG,x' R U R D R U R' D' x',"x' [R U R, D] x"
